Date,TV_Spend,Digital_Spend,Social_Media_Spend,Print_Spend,Discount_Applied,Sales,Units_Sold,Campaign_Type,Product_Type,Region
2024-04-12,30074,63091,38734,9862,20,224511.5,6428,Brand Awareness,Dog Toys,North
2024-12-14,77843,32380,21691,9177,20,247831.90000000002,5803,Discount Offer,Cat Toys,West
2024-09-27,49901,41870,23522,6744,10,208539.8,4838,Discount Offer,Dog Food,North
2024-04-16,21205,52394,16656,7256,15,162489.80000000002,6048,Discount Offer,Cat Toys,South
2024-03-12,65661,67057,20893,12612,10,276277.3,5696,New Product Launch,Cat Food,East
2024-07-07,15906,29259,21493,17234,10,139314.5,4243,Seasonal Sale,Dog Food,East
2024-01-21,12591,29873,8632,16859,15,112855.79999999999,5910,Brand Awareness,Cat Food,North
2024-04-12,72987,28016,35336,13713,20,263992.5,5421,Seasonal Sale,Cat Food,West
2024-05-01,73370,57137,28112,12196,5,288570.5,5274,Discount Offer,Cat Food,West
2024-08-02,64400,15153,18266,10423,10,198713.0,4878,Discount Offer,Cat Food,West
2024-11-26,35150,22853,21940,10089,20,157049.4,6807,Discount Offer,Cat Food,South
2024-03-28,41852,27379,29003,11608,10,184013.9,5320,Seasonal Sale,Dog Toys,East
2024-04-09,52870,30792,37872,14717,5,229427.1,4976,New Product Launch,Dog Food,East
2024-12-25,62756,53367,39815,6469,15,267580.4,5523,New Product Launch,Cat Toys,North
2024-05-31,66481,33100,35869,7675,20,253431.3,5138,Brand Awareness,Cat Toys,East
2024-05-10,11283,62553,22257,6513,5,156568.19999999998,6048,Seasonal Sale,Dog Toys,West
2024-05-29,43691,26049,21682,9876,10,173352.5,4552,New Product Launch,Cat Toys,South
2024-11-04,11125,15786,24622,6451,5,96228.5,4481,Brand Awareness,Cat Toys,West
2024-09-14,77065,19368,35408,9654,20,243255.0,4599,Discount Offer,Cat Toys,West
2024-12-09,36170,45699,13837,16622,15,186344.1,6810,Discount Offer,Dog Food,East
2024-10-20,18438,62691,20407,8007,10,179345.6,6382,Brand Awareness,Cat Toys,South
2024-07-10,30095,52040,34309,19426,15,211068.4,6512,New Product Launch,Dog Food,South
